longitude,latitude,room_type
103.83613000000001,1.3034,Entire home/apt
103.87689,1.3104200000000001,Entire home/apt
103.84076999999999,1.2990700000000002,Entire home/apt
103.84314,1.29879,Entire home/apt
103.84217,1.29309,Entire home/apt
103.82826999999999,1.29285,Entire home/apt
103.84043,1.29175,Entire home/apt
103.82608,1.29423,Entire home/apt
103.90701,1.31491,Entire home/apt
103.86202,1.3105200000000001,Entire home/apt
103.9026,1.31289,Private room
103.82389,1.24847,Entire home/apt
103.85499,1.30736,Entire home/apt
103.86121,1.31237,Entire home/apt
103.83294000000001,1.3039399999999999,Entire home/apt
103.83398000000001,1.43688,Private room
103.90218,1.31415,Private room
103.90316999999999,1.3141,Entire home/apt
103.83336,1.30568,Entire home/apt
103.88084,1.31149,Entire home/apt
103.8475,1.3019399999999999,Entire home/apt
103.698,1.35237,Entire home/apt
103.87626999999999,1.30985,Entire home/apt
103.87814,1.31054,Entire home/apt
103.84276,1.29247,Entire home/apt
103.84091,1.3134700000000001,Entire home/apt
103.94086999999999,1.31182,Entire home/apt
103.90378,1.30531,Entire home/apt
103.84384,1.2752299999999999,Entire home/apt
103.8411,1.2927600000000001,Entire home/apt
103.84376,1.28857,Entire home/apt
103.83515,1.29818,Entire home/apt
103.83639000000001,1.29716,Entire home/apt
103.83583,1.29884,Entire home/apt
103.83663,1.2967,Entire home/apt
103.86086,1.2998399999999999,Entire home/apt
103.84289,1.29236,Entire home/apt
103.85056999999999,1.30298,Entire home/apt
103.85148000000001,1.3522100000000001,Private room
103.95348,1.35725,Private room
103.84121999999999,1.2909700000000002,Entire home/apt
103.84755,1.30627,Entire home/apt
103.83478000000001,1.30372,Entire home/apt
103.81945999999999,1.35114,Entire home/apt
103.83572,1.3023799999999999,Private room
103.85149,1.318,Entire home/apt
103.83158,1.30215,Entire home/apt
103.84678000000001,1.30239,Entire home/apt
103.84748,1.3055,Entire home/apt
103.7955,1.27359,Entire home/apt
103.83712,1.28776,Entire home/apt
103.8609,1.31066,Entire home/apt
103.84845,1.30599,Entire home/apt
103.94372,1.3705100000000001,Shared room
103.84691,1.3075299999999999,Entire home/apt
103.84886999999999,1.30382,Entire home/apt
103.84978000000001,1.30186,Entire home/apt
103.8481,1.30603,Entire home/apt
103.84039,1.36348,Private room
103.84148,1.30063,Entire home/apt
103.84631999999999,1.30546,Entire home/apt
103.89924,1.31279,Entire home/apt
103.83511,1.30375,Entire home/apt
103.88528000000001,1.31192,Entire home/apt
103.87595999999999,1.31123,Entire home/apt
103.87621999999999,1.3116299999999999,Entire home/apt
103.87655,1.31185,Entire home/apt
103.84264,1.28871,Entire home/apt
103.86131999999999,1.31126,Entire home/apt
103.83279,1.30495,Entire home/apt
103.8618,1.31141,Entire home/apt
103.83169000000001,1.3019,Entire home/apt
