longitude,latitude,neighbourhood_group
103.85148000000001,1.3522100000000001,Central Region
103.95348,1.35725,East Region
103.84121999999999,1.2909700000000002,Central Region
103.84755,1.30627,Central Region
103.83478000000001,1.30372,Central Region
103.81945999999999,1.35114,North Region
103.83572,1.3023799999999999,Central Region
103.85149,1.318,Central Region
103.83158,1.30215,Central Region
103.84678000000001,1.30239,Central Region
103.84748,1.3055,Central Region
103.7955,1.27359,Central Region
103.83712,1.28776,Central Region
103.8609,1.31066,Central Region
103.84845,1.30599,Central Region
103.94372,1.3705100000000001,East Region
103.84691,1.3075299999999999,Central Region
103.84886999999999,1.30382,Central Region
103.84978000000001,1.30186,Central Region
103.8481,1.30603,Central Region
103.84039,1.36348,Central Region
103.84148,1.30063,Central Region
103.84631999999999,1.30546,Central Region
103.89924,1.31279,Central Region
103.83511,1.30375,Central Region
103.88528000000001,1.31192,Central Region
103.87595999999999,1.31123,Central Region
103.87621999999999,1.3116299999999999,Central Region
103.87655,1.31185,Central Region
103.84264,1.28871,Central Region
103.86131999999999,1.31126,Central Region
103.83279,1.30495,Central Region
103.8618,1.31141,Central Region
103.83169000000001,1.3019,Central Region
103.82701,1.31873,Central Region
103.87676,1.3105799999999999,Central Region
103.84273,1.3001200000000002,Central Region
103.85753000000001,1.2985,Central Region
103.85861,1.30959,Central Region
103.84219,1.2988600000000001,Central Region
103.83242,1.30365,Central Region
103.86332,1.30354,Central Region
103.84903,1.2803799999999999,Central Region
103.84137,1.2979399999999999,Central Region
103.85559,1.30834,Central Region
103.82623000000001,1.29269,Central Region
103.86171,1.31065,Central Region
103.84225,1.2919399999999999,Central Region
103.85406,1.30879,Central Region
103.84773,1.27783,Central Region
103.83533,1.2902,Central Region
103.86199,1.3123,Central Region
103.84246,1.29074,Central Region
103.85024,1.3040100000000001,Central Region
103.84629,1.3688799999999999,North-East Region
103.85101,1.30264,Central Region
103.85573000000001,1.30905,Central Region
103.81538,1.4484299999999999,North Region
103.82364,1.24881,Central Region
103.84347,1.28506,Central Region
103.82681,1.2927600000000001,Central Region
103.8579,1.30116,Central Region
103.86187,1.30208,Central Region
103.83663,1.28806,Central Region
103.83412,1.30392,Central Region
103.83341,1.30425,Central Region
103.82666,1.29375,Central Region
103.84409000000001,1.28625,Central Region
103.84129,1.29134,Central Region
103.84198,1.29254,Central Region
103.86143,1.31125,Central Region
103.84473,1.2760799999999999,Central Region
103.85151,1.30292,Central Region
103.90726,1.3262,East Region
103.88515,1.31295,Central Region
103.87747,1.30997,Central Region
103.85893,1.31436,Central Region
103.95988,1.35625,East Region
103.8277,1.29406,Central Region
103.90244,1.33467,East Region
103.8873,1.3562100000000001,North-East Region
103.86048000000001,1.31227,Central Region
103.85416,1.32198,Central Region
103.85991,1.31275,Central Region
